    +0.500	   -10.000	   +20.000
    +2.000	    -8.000	   +15.000
    +5.000	    -7.000	   +10.500
    +7.000	    -4.000	    +5.000
   +10.000	    -3.000	   +10.000
   +15.000	   -10.000	   +12.000
   +20.000	   -15.000	    +9.000
   +25.000	   -29.000	    +7.000
   +30.000	   -24.000	   +10.000
   +35.000	   -28.000	   +15.000
   +40.000	   -25.000	   +20.000
   +45.000	   -21.000	   +22.000
   +50.000	   -16.000	   +25.000
   +53.000	   -14.000	   +22.000
   +55.000	   -12.000	   +19.000
   +57.000	    -8.000	   +23.000
   +60.000	    -5.000	   +35.000
